event_id,user_id,title,start_time,end_time,status,description,location,event_type,with_whom
1000,1,Project Work - Implement module features,2024-09-01 10:00:00,2024-09-01 11:47:00,completed,Implement module features,Google Meet,Project Work,
1001,1,Break - Coffee break,2024-09-01 12:00:00,2024-09-01 12:17:00,completed,Coffee break,Zoom,Break,
1002,1,Admin - Update invoices,2024-09-01 13:00:00,2024-09-01 13:27:00,completed,Update invoices,Cafe,Admin,
1003,1,Email & Communication - Follow up on proposals,2024-09-01 14:00:00,2024-09-01 14:28:00,completed,Follow up on proposals,Zoom,Email & Communication,
1004,1,Project Work - Implement module features,2024-09-02 08:00:00,2024-09-02 09:21:00,completed,Implement module features,Office,Project Work,
1005,1,Client Meeting - Demo completed features,2024-09-02 10:00:00,2024-09-02 10:42:00,completed,Demo completed features,Cafe,Client Meeting,Allison Hill
1006,1,Break - Coffee break,2024-09-02 11:00:00,2024-09-02 11:16:00,completed,Coffee break,Home,Break,
1007,1,Admin - Respond to internal emails,2024-09-02 12:00:00,2024-09-02 12:29:00,to be rescheduled,Respond to internal emails,Cafe,Admin,
1009,1,Email & Communication - Reply to client emails,2024-09-02 13:00:00,2024-09-02 13:22:00,to be rescheduled,Reply to client emails,Google Meet,Email & Communication,
1011,1,Project Work - Test new codebase,2024-09-03 09:00:00,2024-09-03 10:53:00,completed,Test new codebase,Office,Project Work,
1012,1,Client Meeting - Discuss contract terms,2024-09-03 11:00:00,2024-09-03 11:38:00,to be rescheduled,Discuss contract terms,Cafe,Client Meeting,Noah Rhodes
1014,1,Break - Take a short walk,2024-09-03 12:00:00,2024-09-03 12:20:00,completed,Take a short walk,Cafe,Break,
1015,1,Admin - Update invoices,2024-09-03 13:00:00,2024-09-03 13:30:00,to be rescheduled,Update invoices,Google Meet,Admin,
1017,1,Email & Communication - Follow up on proposals,2024-09-03 14:00:00,2024-09-03 14:17:00,completed,Follow up on proposals,Google Meet,Email & Communication,
1018,1,Project Work - Fix reported bugs,2024-09-04 10:00:00,2024-09-04 11:56:00,canceled,Fix reported bugs,Google Meet,Project Work,
1020,1,Client Meeting - Align on next steps,2024-09-04 12:00:00,2024-09-04 12:47:00,completed,Align on next steps,Cafe,Client Meeting,Angie Henderson
1010,1,Email & Communication - Reply to client emails,2024-09-04 13:00:00,2024-09-04 13:22:00,completed,Reply to client emails,Google Meet,Email & Communication,
1021,1,Break - Lunch break,2024-09-04 13:00:00,2024-09-04 13:22:00,completed,Lunch break,Cafe,Break,
1022,1,Admin - Log expenses,2024-09-04 14:00:00,2024-09-04 14:21:00,canceled,Log expenses,Google Meet,Admin,
1024,1,Email & Communication - Schedule meetings,2024-09-04 15:00:00,2024-09-04 15:27:00,completed,Schedule meetings,Cafe,Email & Communication,
1025,1,Break - Take a short walk,2024-09-05 09:00:00,2024-09-05 09:18:00,completed,Take a short walk,Office,Break,
1026,1,Admin - Update invoices,2024-09-05 10:00:00,2024-09-05 10:33:00,completed,Update invoices,Office,Admin,
1019,1,Project Work - Fix reported bugs,2024-09-05 10:00:00,2024-09-05 11:56:00,completed,Fix reported bugs,Google Meet,Project Work,
1008,1,Admin - Respond to internal emails,2024-09-05 12:00:00,2024-09-05 12:29:00,completed,Respond to internal emails,Cafe,Admin,
1016,1,Admin - Update invoices,2024-09-05 13:00:00,2024-09-05 13:30:00,completed,Update invoices,Google Meet,Admin,
1027,1,Project Work - Test new codebase,2024-09-06 08:00:00,2024-09-06 09:06:00,canceled,Test new codebase,Cafe,Project Work,
1029,1,Client Meeting - Discuss contract terms,2024-09-06 10:00:00,2024-09-06 10:54:00,completed,Discuss contract terms,Cafe,Client Meeting,Daniel Wagner
1013,1,Client Meeting - Discuss contract terms,2024-09-06 11:00:00,2024-09-06 11:38:00,completed,Discuss contract terms,Cafe,Client Meeting,Noah Rhodes
1030,1,Break - Take a short walk,2024-09-06 11:00:00,2024-09-06 11:15:00,completed,Take a short walk,Office,Break,
1031,1,Admin - Update invoices,2024-09-06 12:00:00,2024-09-06 12:27:00,canceled,Update invoices,Zoom,Admin,
1028,1,Project Work - Test new codebase,2024-09-07 08:00:00,2024-09-07 09:06:00,completed,Test new codebase,Cafe,Project Work,
1033,1,Project Work - Implement module features,2024-09-07 10:00:00,2024-09-07 11:08:00,to be rescheduled,Implement module features,Office,Project Work,
1032,1,Admin - Update invoices,2024-09-07 12:00:00,2024-09-07 12:27:00,completed,Update invoices,Zoom,Admin,
1035,1,Client Meeting - Review progress with client,2024-09-07 12:00:00,2024-09-07 12:36:00,canceled,Review progress with client,Office,Client Meeting,Cristian Santos
1037,1,Break - Mindfulness time,2024-09-07 13:00:00,2024-09-07 13:29:00,completed,Mindfulness time,Zoom,Break,
1023,1,Admin - Log expenses,2024-09-07 14:00:00,2024-09-07 14:21:00,completed,Log expenses,Google Meet,Admin,
1038,1,Admin - Log expenses,2024-09-07 14:00:00,2024-09-07 14:22:00,completed,Log expenses,Cafe,Admin,
1039,1,Email & Communication - Reply to client emails,2024-09-07 15:00:00,2024-09-07 15:17:00,to be rescheduled,Reply to client emails,Google Meet,Email & Communication,
1041,1,Project Work - Fix reported bugs,2024-09-08 09:00:00,2024-09-08 10:15:00,completed,Fix reported bugs,Google Meet,Project Work,
1042,1,Client Meeting - Align on next steps,2024-09-08 11:00:00,2024-09-08 11:53:00,canceled,Align on next steps,Google Meet,Client Meeting,Connie Lawrence
1044,1,Break - Take a short walk,2024-09-08 12:00:00,2024-09-08 12:18:00,completed,Take a short walk,Home,Break,
1045,1,Admin - Update invoices,2024-09-08 13:00:00,2024-09-08 13:21:00,to be rescheduled,Update invoices,Zoom,Admin,
1047,1,Email & Communication - Sort inbox,2024-09-08 14:00:00,2024-09-08 14:18:00,completed,Sort inbox,Cafe,Email & Communication,
1040,1,Email & Communication - Reply to client emails,2024-09-08 15:00:00,2024-09-08 15:17:00,completed,Reply to client emails,Google Meet,Email & Communication,
1048,1,Project Work - Implement module features,2024-09-09 09:00:00,2024-09-09 10:11:00,completed,Implement module features,Zoom,Project Work,
1049,1,Client Meeting - Discuss contract terms,2024-09-09 11:00:00,2024-09-09 11:57:00,canceled,Discuss contract terms,Zoom,Client Meeting,Abigail Shaffer
1051,1,Project Work - Fix reported bugs,2024-09-10 08:00:00,2024-09-10 09:30:00,completed,Fix reported bugs,Zoom,Project Work,
1034,1,Project Work - Implement module features,2024-09-10 10:00:00,2024-09-10 11:08:00,completed,Implement module features,Office,Project Work,
1052,1,Client Meeting - Demo completed features,2024-09-10 10:00:00,2024-09-10 10:30:00,canceled,Demo completed features,Home,Client Meeting,Gina Moore
1054,1,Break - Take a short walk,2024-09-10 11:00:00,2024-09-10 11:30:00,completed,Take a short walk,Google Meet,Break,
1043,1,Client Meeting - Align on next steps,2024-09-10 11:00:00,2024-09-10 11:53:00,completed,Align on next steps,Google Meet,Client Meeting,Connie Lawrence
1050,1,Client Meeting - Discuss contract terms,2024-09-10 11:00:00,2024-09-10 11:57:00,completed,Discuss contract terms,Zoom,Client Meeting,Abigail Shaffer
